,locus_name,BF,FC,BF_k1_1,BF_k1_2
2186,YGL028C,-4.846816952661337,0.03741128586333919,-4.3289327702659195,0.7902982569311351
2187,YGL029W,-1.2930756923741036,-0.2514271965458685,24.61785235892778,-5.00182213097201
2188,YGL030W,58.81031188629054,0.13622523463591593,71.6753438705152,100.8348363570319
2189,YGL031C,-3.53022075175072,-0.03296816606705942,222.17775338141183,12.678498596035498
2190,YGL032C,-5.439830162118764,0.07130560072765257,-3.7101412522289876,-5.250415309723317
2191,YGL033W,-5.610542447929208,0.8786599014796361,-6.14008677556601,-5.732517614788121
2192,YGL034C,-6.104469690606679,-0.11510882406491302,-5.8631899518570805,-5.718799680734026
2193,YGL035C,-4.87921192183163,-0.027430032441920535,-4.574390731134985,-2.3880812611557447
2194,YGL036W,-5.066181559773437,-0.020274478492639445,1.7544466900541653,-0.04219744823989895
2195,YGL037C,44.330426298959104,0.18251542984614977,-2.1198886250334943,-4.307846157543399
2196,YGL038C,-3.9448232339462774,0.09189795283988107,33.402036260619106,-4.642294926194963
2197,YGL039W,-5.186524209860767,0.005978704786838162,20.63407027670983,-2.719361813786949
2198,YGL040C,-3.3652391989067474,0.0770380440194516,-4.777630942693493,-3.113274016849468
2199,YGL041C,-7.115433149128499,0.07130443938321701,-6.696998390921915,-6.62346835374454
2200,YGL041C-B,-6.2295089430530695,-0.4141225789222755,-5.971399340406556,-6.064571979439577
2201,YGL041W-A,-4.629927302980481,0.3188283373739614,-5.1011376089915785,-5.421277164431704
2202,YGL042C,-5.361071482236583,0.1372402031339403,-0.9010781579014875,-5.243014744353841
2203,YGL043W,-4.328577433578767,-0.10467527617875237,-4.1781758029314515,-4.6484716353396465
2204,YGL044C,-5.2511851584212055,0.009197005029164157,0.49429901071003596,-5.0260473720531
2205,YGL045W,-0.7348012970886628,0.3182099071539113,-0.6236394680701991,-1.356512810595718
2206,YGL047W,-4.33450361185054,0.13995447282060758,-3.446880113102762,-2.884898122346533
2207,YGL048C,-4.423123111303433,0.03385868368038781,12.547101983854077,-0.25090264071557644
2208,YGL049C,-5.015324769768004,-0.011103740316864154,21.20683818682967,-2.753042176600227
2209,YGL050W,-5.229461602033651,-0.05475738209916452,-1.7584416586022775,-4.83885873881929
2210,YGL051W,-5.198503614736836,0.13240107111010357,-5.342264886189366,-2.891863596360456
2211,YGL052W,-5.673622598420645,0.09714506518354508,-4.082860328280834,-4.824823347380758
2212,YGL053W,-0.03084771307176479,0.3008401408833417,-1.6616087226026701,9.073729555979082
2213,YGL054C,-1.6163943100553153,0.15881619176176032,40.53829793359377,-4.826458169238627
2214,YGL055W,-0.019435210901942453,-0.049475584794324526,15.527483774930397,56.870770530752054
